fold name	freq	top1	top5	top10	top15	top20
a.76	4	0.0	0.0	0.25	0.25	0.25
a.77	19	0.263157894737	0.631578947368	0.789473684211	0.894736842105	0.894736842105
a.70	2	0.0	0.0	0.5	0.5	0.5
a.71	4	1.0	1.0	1.0	1.0	1.0
a.72	1	0.0	1.0	1.0	1.0	1.0
a.73	10	0.1	0.3	0.5	0.6	0.7
d.256	2	0.0	0.0	0.0	0.0	0.5
f.10	3	0.666666666667	1.0	1.0	1.0	1.0
d.254	6	0.166666666667	0.666666666667	0.833333333333	1.0	1.0
d.255	2	1.0	1.0	1.0	1.0	1.0
a.78	2	0.0	0.0	0.0	0.0	0.0
a.79	5	0.2	0.4	0.6	0.8	0.8
d.250	6	0.5	0.666666666667	0.666666666667	0.666666666667	0.666666666667
d.251	1	1.0	1.0	1.0	1.0	1.0
g.14	29	0.862068965517	0.965517241379	1.0	1.0	1.0
e.57	1	1.0	1.0	1.0	1.0	1.0
g.16	9	0.0	0.111111111111	0.333333333333	0.666666666667	0.777777777778
g.17	25	0.48	0.84	0.92	0.96	0.96
g.10	4	0.5	0.75	1.0	1.0	1.0
g.11	1	0.0	0.0	0.0	0.0	0.0
g.12	18	0.0	0.0	0.0	0.0	0.0
g.13	9	0.0	0.0	0.111111111111	0.333333333333	0.555555555556
g.75	1	0.0	1.0	1.0	1.0	1.0
g.18	38	0.0263157894737	0.578947368421	0.815789473684	0.894736842105	0.894736842105
g.19	4	0.0	0.0	0.0	0.0	0.0
e.58	1	1.0	1.0	1.0	1.0	1.0
c.33	6	0.166666666667	0.333333333333	0.5	0.5	0.5
d.243	2	0.5	0.5	0.5	0.5	0.5
a.285	2	0.0	0.0	0.0	0.0	0.0
d.213	1	0.0	0.0	0.0	0.0	0.0
d.322	3	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667
d.323	2	0.5	1.0	1.0	1.0	1.0
d.320	1	0.0	0.0	1.0	1.0	1.0
d.321	2	0.5	1.0	1.0	1.0	1.0
d.326	3	1.0	1.0	1.0	1.0	1.0
d.327	1	0.0	0.0	0.0	0.0	1.0
d.324	1	1.0	1.0	1.0	1.0	1.0
d.325	6	0.0	0.0	0.5	0.5	0.666666666667
b.116	1	1.0	1.0	1.0	1.0	1.0
d.328	2	0.0	1.0	1.0	1.0	1.0
d.329	1	0.0	0.0	0.0	0.0	0.0
d.364	1	1.0	1.0	1.0	1.0	1.0
d.173	2	0.0	0.0	0.0	0.0	0.0
d.172	3	1.0	1.0	1.0	1.0	1.0
d.171	8	0.875	1.0	1.0	1.0	1.0
d.170	3	0.0	0.333333333333	0.333333333333	0.333333333333	0.333333333333
d.177	7	0.571428571429	0.571428571429	0.857142857143	0.857142857143	0.857142857143
d.176	3	0.666666666667	0.666666666667	0.666666666667	0.666666666667	1.0
d.175	3	1.0	1.0	1.0	1.0	1.0
d.174	8	0.75	1.0	1.0	1.0	1.0
d.362	1	0.0	0.0	0.0	0.0	0.0
d.179	5	0.6	1.0	1.0	1.0	1.0
d.178	5	0.2	0.6	0.6	0.6	0.8
d.378	1	0.0	0.0	0.0	0.0	0.0
b.119	1	0.0	1.0	1.0	1.0	1.0
d.363	1	0.0	1.0	1.0	1.0	1.0
b.172	3	0.333333333333	1.0	1.0	1.0	1.0
e.51	2	1.0	1.0	1.0	1.0	1.0
d.240	6	0.833333333333	0.833333333333	0.833333333333	0.833333333333	0.833333333333
a.179	1	0.0	0.0	0.0	0.0	0.0
d.360	1	0.0	0.0	0.0	0.0	0.0
b.115	2	1.0	1.0	1.0	1.0	1.0
d.361	1	0.0	0.0	0.0	0.0	0.0
d.218	25	0.4	0.64	0.8	0.92	0.92
d.219	2	1.0	1.0	1.0	1.0	1.0
b.163	2	0.5	1.0	1.0	1.0	1.0
a.189	5	0.0	0.0	0.0	0.4	0.4
d.316	2	1.0	1.0	1.0	1.0	1.0
b.35	38	0.263157894737	0.684210526316	0.894736842105	0.947368421053	0.947368421053
b.34	220	0.213636363636	0.577272727273	0.809090909091	0.904545454545	0.940909090909
b.37	3	0.0	0.666666666667	0.666666666667	0.666666666667	1.0
b.36	91	0.703296703297	0.89010989011	0.923076923077	0.945054945055	0.956043956044
b.31	3	0.0	0.0	0.666666666667	0.666666666667	0.666666666667
b.30	30	0.166666666667	0.6	0.8	0.8	0.833333333333
b.33	20	0.65	0.8	0.95	0.95	0.95
b.112	2	0.5	1.0	1.0	1.0	1.0
f.40	1	0.0	0.0	0.0	0.0	0.0
b.39	5	0.2	0.4	0.6	0.8	1.0
b.38	34	0.117647058824	0.235294117647	0.441176470588	0.617647058824	0.705882352941
g.76	2	1.0	1.0	1.0	1.0	1.0
b.110	2	0.5	1.0	1.0	1.0	1.0
b.32	1	0.0	0.0	0.0	1.0	1.0
a.69	14	0.142857142857	0.428571428571	0.642857142857	0.714285714286	0.857142857143
b.117	2	0.0	1.0	1.0	1.0	1.0
b.165	1	0.0	0.0	0.0	0.0	1.0
a.177	7	0.0	0.428571428571	0.428571428571	0.714285714286	0.857142857143
a.150	1	0.0	0.0	0.0	0.0	1.0
a.151	1	0.0	0.0	1.0	1.0	1.0
a.152	12	0.916666666667	1.0	1.0	1.0	1.0
a.153	4	0.0	0.0	0.0	0.25	0.5
a.154	2	0.0	1.0	1.0	1.0	1.0
a.155	4	0.0	0.25	0.5	0.5	0.5
a.156	10	0.5	0.8	1.0	1.0	1.0
a.157	4	0.0	0.0	0.0	0.25	0.25
a.158	5	0.2	0.2	0.2	0.4	0.4
a.159	10	0.0	0.2	0.3	0.3	0.5
b.114	1	0.0	0.0	0.0	1.0	1.0
g.73	1	0.0	0.0	0.0	0.0	0.0
d.375	1	0.0	0.0	0.0	0.0	0.0
d.381	2	1.0	1.0	1.0	1.0	1.0
c.90	10	0.6	0.8	0.8	0.9	0.9
c.91	7	0.285714285714	0.857142857143	1.0	1.0	1.0
c.92	21	0.285714285714	0.619047619048	0.857142857143	0.952380952381	0.952380952381
c.93	19	0.210526315789	0.421052631579	0.578947368421	0.736842105263	0.842105263158
c.94	87	0.48275862069	0.724137931034	0.862068965517	0.896551724138	0.919540229885
c.95	44	0.431818181818	0.75	0.772727272727	0.795454545455	0.863636363636
c.96	2	1.0	1.0	1.0	1.0	1.0
c.97	24	0.208333333333	0.416666666667	0.5	0.666666666667	0.75
c.98	5	0.6	1.0	1.0	1.0	1.0
c.99	1	0.0	0.0	0.0	0.0	0.0
a.286	1	0.0	0.0	0.0	0.0	0.0
d.348	6	0.0	0.0	0.0	0.0	0.0
a.279	1	1.0	1.0	1.0	1.0	1.0
g.79	1	0.0	0.0	1.0	1.0	1.0
d.274	1	1.0	1.0	1.0	1.0	1.0
a.278	4	0.25	0.5	0.75	1.0	1.0
a.124	5	1.0	1.0	1.0	1.0	1.0
a.127	19	0.842105263158	0.947368421053	1.0	1.0	1.0
a.126	7	0.571428571429	0.857142857143	1.0	1.0	1.0
a.121	34	0.588235294118	0.794117647059	0.882352941176	0.911764705882	0.911764705882
a.120	1	0.0	0.0	0.0	0.0	0.0
a.123	39	0.923076923077	0.974358974359	0.974358974359	1.0	1.0
b.96	1	0.0	1.0	1.0	1.0	1.0
a.129	7	1.0	1.0	1.0	1.0	1.0
a.128	11	0.272727272727	0.636363636364	0.727272727273	0.818181818182	0.818181818182
a.38	13	0.153846153846	0.692307692308	0.769230769231	0.769230769231	0.769230769231
a.39	136	0.529411764706	0.860294117647	0.911764705882	0.941176470588	0.963235294118
d.359	1	0.0	1.0	1.0	1.0	1.0
d.358	1	1.0	1.0	1.0	1.0	1.0
